Copyright (C) 1991-2008 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.

CPU_single Clock Setup: 'sysclk'

Slack	Actual fmax (period)	From	To	From Clock	To Clock	Required Setup Relationship	Required Longest P2P Time	Actual Longest P2P Time
23.306 ns	18.73 MHz ( period = 53.388 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[8][9]	sysclk	sysclk	50.000 ns	47.723 ns	24.417 ns
23.310 ns	18.73 MHz ( period = 53.380 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[4][9]	sysclk	sysclk	50.000 ns	47.723 ns	24.413 ns
23.317 ns	18.74 MHz ( period = 53.366 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[10][10]	sysclk	sysclk	50.000 ns	47.746 ns	24.429 ns
23.317 ns	18.74 MHz ( period = 53.366 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[18][10]	sysclk	sysclk	50.000 ns	47.746 ns	24.429 ns
23.325 ns	18.74 MHz ( period = 53.350 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[11][9]	sysclk	sysclk	50.000 ns	47.733 ns	24.408 ns
23.326 ns	18.74 MHz ( period = 53.348 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[15][9]	sysclk	sysclk	50.000 ns	47.733 ns	24.407 ns
23.330 ns	18.75 MHz ( period = 53.340 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[23][10]	sysclk	sysclk	50.000 ns	47.741 ns	24.411 ns
23.330 ns	18.75 MHz ( period = 53.340 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[26][10]	sysclk	sysclk	50.000 ns	47.741 ns	24.411 ns
23.343 ns	18.76 MHz ( period = 53.314 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[1][1]	sysclk	sysclk	50.000 ns	47.712 ns	24.369 ns
23.347 ns	18.76 MHz ( period = 53.306 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[5][1]	sysclk	sysclk	50.000 ns	47.712 ns	24.365 ns
23.360 ns	18.77 MHz ( period = 53.280 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[21][10]	sysclk	sysclk	50.000 ns	47.742 ns	24.382 ns
23.366 ns	18.77 MHz ( period = 53.268 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[15][1]	sysclk	sysclk	50.000 ns	47.735 ns	24.369 ns
23.371 ns	18.78 MHz ( period = 53.258 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[11][1]	sysclk	sysclk	50.000 ns	47.735 ns	24.364 ns
23.375 ns	18.78 MHz ( period = 53.250 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[9][1]	sysclk	sysclk	50.000 ns	47.739 ns	24.364 ns
23.375 ns	18.78 MHz ( period = 53.250 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[9][9]	sysclk	sysclk	50.000 ns	47.734 ns	24.359 ns
23.377 ns	18.78 MHz ( period = 53.246 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[13][9]	sysclk	sysclk	50.000 ns	47.734 ns	24.357 ns
23.381 ns	18.78 MHz ( period = 53.238 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[10][9]	sysclk	sysclk	50.000 ns	47.746 ns	24.365 ns
23.383 ns	18.78 MHz ( period = 53.234 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[2][9]	sysclk	sysclk	50.000 ns	47.746 ns	24.363 ns
23.406 ns	18.80 MHz ( period = 53.188 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[1][1]	sysclk	sysclk	50.000 ns	49.267 ns	25.861 ns
23.410 ns	18.80 MHz ( period = 53.180 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[5][1]	sysclk	sysclk	50.000 ns	49.267 ns	25.857 ns
23.429 ns	18.82 MHz ( period = 53.142 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[15][1]	sysclk	sysclk	50.000 ns	49.290 ns	25.861 ns
23.434 ns	18.82 MHz ( period = 53.132 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[11][1]	sysclk	sysclk	50.000 ns	49.290 ns	25.856 ns
23.438 ns	18.82 MHz ( period = 53.124 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[9][1]	sysclk	sysclk	50.000 ns	49.294 ns	25.856 ns
23.468 ns	18.85 MHz ( period = 53.064 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[15][14]	sysclk	sysclk	50.000 ns	47.723 ns	24.255 ns
23.470 ns	18.85 MHz ( period = 53.060 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[11][14]	sysclk	sysclk	50.000 ns	47.723 ns	24.253 ns
23.473 ns	18.85 MHz ( period = 53.054 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[15][14]	sysclk	sysclk	50.000 ns	49.278 ns	25.805 ns
23.475 ns	18.85 MHz ( period = 53.050 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[11][14]	sysclk	sysclk	50.000 ns	49.278 ns	25.803 ns
23.480 ns	18.85 MHz ( period = 53.040 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[10][25]	sysclk	sysclk	50.000 ns	47.720 ns	24.240 ns
23.482 ns	18.86 MHz ( period = 53.036 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[26][25]	sysclk	sysclk	50.000 ns	47.720 ns	24.238 ns
23.485 ns	18.86 MHz ( period = 53.030 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[10][25]	sysclk	sysclk	50.000 ns	49.275 ns	25.790 ns
23.487 ns	18.86 MHz ( period = 53.026 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[26][25]	sysclk	sysclk	50.000 ns	49.275 ns	25.788 ns
23.550 ns	18.90 MHz ( period = 52.900 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[28][9]	sysclk	sysclk	50.000 ns	47.726 ns	24.176 ns
23.552 ns	18.91 MHz ( period = 52.896 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[1][10]	sysclk	sysclk	50.000 ns	49.275 ns	25.723 ns
23.552 ns	18.91 MHz ( period = 52.896 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[14][9]	sysclk	sysclk	50.000 ns	47.726 ns	24.174 ns
23.553 ns	18.91 MHz ( period = 52.894 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[5][10]	sysclk	sysclk	50.000 ns	49.275 ns	25.722 ns
23.554 ns	18.91 MHz ( period = 52.892 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[30][9]	sysclk	sysclk	50.000 ns	47.736 ns	24.182 ns
23.556 ns	18.91 MHz ( period = 52.888 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[25][10]	sysclk	sysclk	50.000 ns	49.273 ns	25.717 ns
23.558 ns	18.91 MHz ( period = 52.884 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[5][9]	sysclk	sysclk	50.000 ns	47.720 ns	24.162 ns
23.558 ns	18.91 MHz ( period = 52.884 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[7][9]	sysclk	sysclk	50.000 ns	47.710 ns	24.152 ns
23.559 ns	18.91 MHz ( period = 52.882 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[27][10]	sysclk	sysclk	50.000 ns	49.273 ns	25.714 ns
23.559 ns	18.91 MHz ( period = 52.882 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[3][9]	sysclk	sysclk	50.000 ns	47.710 ns	24.151 ns
23.562 ns	18.91 MHz ( period = 52.876 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[1][9]	sysclk	sysclk	50.000 ns	47.720 ns	24.158 ns
23.576 ns	18.92 MHz ( period = 52.848 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[7][25]	sysclk	sysclk	50.000 ns	47.737 ns	24.161 ns
23.577 ns	18.92 MHz ( period = 52.846 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[5][25]	sysclk	sysclk	50.000 ns	47.737 ns	24.160 ns
23.578 ns	18.92 MHz ( period = 52.844 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[5][31]	sysclk	sysclk	50.000 ns	47.746 ns	24.168 ns
23.578 ns	18.92 MHz ( period = 52.844 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[1][31]	sysclk	sysclk	50.000 ns	47.746 ns	24.168 ns
23.581 ns	18.93 MHz ( period = 52.838 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[7][25]	sysclk	sysclk	50.000 ns	49.292 ns	25.711 ns
23.582 ns	18.93 MHz ( period = 52.836 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[5][25]	sysclk	sysclk	50.000 ns	49.292 ns	25.710 ns
23.583 ns	18.93 MHz ( period = 52.834 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[5][31]	sysclk	sysclk	50.000 ns	49.301 ns	25.718 ns
23.583 ns	18.93 MHz ( period = 52.834 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[1][31]	sysclk	sysclk	50.000 ns	49.301 ns	25.718 ns
23.613 ns	18.95 MHz ( period = 52.774 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[30][1]	sysclk	sysclk	50.000 ns	47.715 ns	24.102 ns
23.614 ns	18.95 MHz ( period = 52.772 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[3][1]	sysclk	sysclk	50.000 ns	47.713 ns	24.099 ns
23.614 ns	18.95 MHz ( period = 52.772 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[24][1]	sysclk	sysclk	50.000 ns	47.715 ns	24.101 ns
23.616 ns	18.95 MHz ( period = 52.768 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[7][1]	sysclk	sysclk	50.000 ns	47.713 ns	24.097 ns
23.619 ns	18.95 MHz ( period = 52.762 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[18][9]	sysclk	sysclk	50.000 ns	47.745 ns	24.126 ns
23.643 ns	18.97 MHz ( period = 52.714 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[7][19]	sysclk	sysclk	50.000 ns	47.737 ns	24.094 ns
23.643 ns	18.97 MHz ( period = 52.714 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[5][19]	sysclk	sysclk	50.000 ns	47.737 ns	24.094 ns
23.648 ns	18.97 MHz ( period = 52.704 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[7][19]	sysclk	sysclk	50.000 ns	49.292 ns	25.644 ns
23.648 ns	18.97 MHz ( period = 52.704 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[5][19]	sysclk	sysclk	50.000 ns	49.292 ns	25.644 ns
23.649 ns	18.97 MHz ( period = 52.702 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[2][3]	sysclk	sysclk	50.000 ns	47.707 ns	24.058 ns
23.654 ns	18.98 MHz ( period = 52.692 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[2][3]	sysclk	sysclk	50.000 ns	49.262 ns	25.608 ns
23.676 ns	18.99 MHz ( period = 52.648 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[30][1]	sysclk	sysclk	50.000 ns	49.270 ns	25.594 ns
23.677 ns	18.99 MHz ( period = 52.646 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[3][1]	sysclk	sysclk	50.000 ns	49.268 ns	25.591 ns
23.677 ns	18.99 MHz ( period = 52.646 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[24][1]	sysclk	sysclk	50.000 ns	49.270 ns	25.593 ns
23.679 ns	19.00 MHz ( period = 52.642 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[17][19]	sysclk	sysclk	50.000 ns	47.731 ns	24.052 ns
23.679 ns	19.00 MHz ( period = 52.642 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[7][1]	sysclk	sysclk	50.000 ns	49.268 ns	25.589 ns
23.680 ns	19.00 MHz ( period = 52.640 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[23][19]	sysclk	sysclk	50.000 ns	47.731 ns	24.051 ns
23.684 ns	19.00 MHz ( period = 52.632 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[17][19]	sysclk	sysclk	50.000 ns	49.286 ns	25.602 ns
23.685 ns	19.00 MHz ( period = 52.630 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[23][19]	sysclk	sysclk	50.000 ns	49.286 ns	25.601 ns
23.695 ns	19.01 MHz ( period = 52.610 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[21][14]	sysclk	sysclk	50.000 ns	47.715 ns	24.020 ns
23.700 ns	19.01 MHz ( period = 52.600 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[21][14]	sysclk	sysclk	50.000 ns	49.270 ns	25.570 ns
23.718 ns	19.02 MHz ( period = 52.564 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[4][14]	sysclk	sysclk	50.000 ns	47.729 ns	24.011 ns
23.719 ns	19.03 MHz ( period = 52.562 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[20][14]	sysclk	sysclk	50.000 ns	47.729 ns	24.010 ns
23.719 ns	19.03 MHz ( period = 52.562 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[23][14]	sysclk	sysclk	50.000 ns	47.730 ns	24.011 ns
23.723 ns	19.03 MHz ( period = 52.554 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[4][14]	sysclk	sysclk	50.000 ns	49.284 ns	25.561 ns
23.724 ns	19.03 MHz ( period = 52.552 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[20][14]	sysclk	sysclk	50.000 ns	49.284 ns	25.560 ns
23.724 ns	19.03 MHz ( period = 52.552 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[23][14]	sysclk	sysclk	50.000 ns	49.285 ns	25.561 ns
23.743 ns	19.04 MHz ( period = 52.514 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[17][10]	sysclk	sysclk	50.000 ns	49.299 ns	25.556 ns
23.744 ns	19.04 MHz ( period = 52.512 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[19][10]	sysclk	sysclk	50.000 ns	49.299 ns	25.555 ns
23.746 ns	19.04 MHz ( period = 52.508 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[25][19]	sysclk	sysclk	50.000 ns	47.716 ns	23.970 ns
23.746 ns	19.04 MHz ( period = 52.508 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[31][19]	sysclk	sysclk	50.000 ns	47.716 ns	23.970 ns
23.751 ns	19.05 MHz ( period = 52.498 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[25][19]	sysclk	sysclk	50.000 ns	49.271 ns	25.520 ns
23.751 ns	19.05 MHz ( period = 52.498 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[31][19]	sysclk	sysclk	50.000 ns	49.271 ns	25.520 ns
23.752 ns	19.05 MHz ( period = 52.496 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[4][10]	sysclk	sysclk	50.000 ns	49.278 ns	25.526 ns
