Copyright (C) 1991-2008 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.

CPU_single tsu

Slack	Required tsu	Actual tsu	From	To	To Clock
N/A	None	-5.044 ns	switch[7]	RegFile:RegFile1|RF_DATA[19][7]	sysclk
N/A	None	-5.050 ns	switch[7]	RegFile:RegFile1|RF_DATA[9][7]	sysclk
N/A	None	-5.051 ns	switch[7]	RegFile:RegFile1|RF_DATA[18][7]	sysclk
N/A	None	-5.054 ns	switch[7]	RegFile:RegFile1|RF_DATA[10][7]	sysclk
N/A	None	-5.054 ns	switch[7]	RegFile:RegFile1|RF_DATA[13][7]	sysclk
N/A	None	-5.071 ns	UART_RX	UART:UART1|UART_Receiver:r1|enable	sysclk
N/A	None	-5.073 ns	UART_RX	UART:UART1|UART_Receiver:r1|temp	sysclk
N/A	None	-5.108 ns	switch[5]	RegFile:RegFile1|RF_DATA[20][5]	sysclk
N/A	None	-5.108 ns	switch[7]	RegFile:RegFile1|RF_DATA[24][7]	sysclk
N/A	None	-5.108 ns	switch[7]	RegFile:RegFile1|RF_DATA[28][7]	sysclk
N/A	None	-5.117 ns	switch[4]	RegFile:RegFile1|RF_DATA[27][4]	sysclk
N/A	None	-5.117 ns	switch[4]	RegFile:RegFile1|RF_DATA[25][4]	sysclk
N/A	None	-5.120 ns	switch[4]	RegFile:RegFile1|RF_DATA[17][4]	sysclk
N/A	None	-5.121 ns	switch[4]	RegFile:RegFile1|RF_DATA[19][4]	sysclk
N/A	None	-5.140 ns	UART_RX	UART:UART1|UART_Receiver:r1|RX_DATA[6]	sysclk
N/A	None	-5.141 ns	UART_RX	UART:UART1|UART_Receiver:r1|RX_DATA[3]	sysclk
N/A	None	-5.141 ns	UART_RX	UART:UART1|UART_Receiver:r1|RX_DATA[1]	sysclk
N/A	None	-5.143 ns	UART_RX	UART:UART1|UART_Receiver:r1|RX_DATA[0]	sysclk
N/A	None	-5.144 ns	UART_RX	UART:UART1|UART_Receiver:r1|RX_DATA[2]	sysclk
N/A	None	-5.145 ns	UART_RX	UART:UART1|UART_Receiver:r1|RX_DATA[7]	sysclk
N/A	None	-5.146 ns	UART_RX	UART:UART1|UART_Receiver:r1|RX_DATA[5]	sysclk
N/A	None	-5.189 ns	switch[2]	RegFile:RegFile1|RF_DATA[15][2]	sysclk
N/A	None	-5.190 ns	switch[2]	RegFile:RegFile1|RF_DATA[11][2]	sysclk
N/A	None	-5.213 ns	switch[4]	RegFile:RegFile1|RF_DATA[12][4]	sysclk
N/A	None	-5.214 ns	switch[4]	RegFile:RegFile1|RF_DATA[26][4]	sysclk
N/A	None	-5.290 ns	switch[7]	RegFile:RegFile1|RF_DATA[2][7]	sysclk
N/A	None	-5.293 ns	switch[7]	RegFile:RegFile1|RF_DATA[26][7]	sysclk
N/A	None	-5.345 ns	switch[7]	RegFile:RegFile1|RF_DATA[6][7]	sysclk
N/A	None	-5.347 ns	switch[7]	RegFile:RegFile1|RF_DATA[22][7]	sysclk
N/A	None	-5.353 ns	switch[7]	RegFile:RegFile1|RF_DATA[3][7]	sysclk
N/A	None	-5.353 ns	switch[7]	RegFile:RegFile1|RF_DATA[7][7]	sysclk
N/A	None	-5.363 ns	switch[7]	RegFile:RegFile1|RF_DATA[30][7]	sysclk
N/A	None	-5.365 ns	switch[7]	RegFile:RegFile1|RF_DATA[31][7]	sysclk
N/A	None	-5.366 ns	switch[7]	RegFile:RegFile1|RF_DATA[29][7]	sysclk
N/A	None	-5.383 ns	switch[4]	RegFile:RegFile1|RF_DATA[23][4]	sysclk
N/A	None	-5.385 ns	switch[4]	RegFile:RegFile1|RF_DATA[29][4]	sysclk
N/A	None	-5.402 ns	switch[4]	RegFile:RegFile1|RF_DATA[21][4]	sysclk
N/A	None	-5.404 ns	switch[4]	RegFile:RegFile1|RF_DATA[18][4]	sysclk
N/A	None	-5.466 ns	switch[2]	RegFile:RegFile1|RF_DATA[9][2]	sysclk
N/A	None	-5.482 ns	switch[5]	RegFile:RegFile1|RF_DATA[14][5]	sysclk
N/A	None	-5.505 ns	switch[4]	RegFile:RegFile1|RF_DATA[28][4]	sysclk
N/A	None	-5.508 ns	switch[4]	RegFile:RegFile1|RF_DATA[20][4]	sysclk
N/A	None	-5.517 ns	switch[4]	RegFile:RegFile1|RF_DATA[16][4]	sysclk
N/A	None	-5.517 ns	switch[4]	RegFile:RegFile1|RF_DATA[4][4]	sysclk
N/A	None	-5.556 ns	switch[4]	RegFile:RegFile1|RF_DATA[24][4]	sysclk
Timing analysis restricted to 200 rows.	To change the limit use Settings (Assignments menu)				
